"diagnosis_code","diagnosis_description"
"F11.188","Opioid abuse with other opioid-induced disorder"
"E10.641","Type 1 diabetes mellitus with hypoglycemia with coma"
"E08.638","Diabetes mellitus due to underlying condition with other oral complications"
"E08.3543","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"
"I70.208","Unspecified atherosclerosis of native arteries of extremities, other extremity"
"C85.80","Other specified types of non-Hodgkin lymphoma, unspecified site"
"C84.90","Mature T/NK-cell lymphomas, unspecified, unspecified site"
"C84.40","Peripheral T-cell lymphoma, not classified, unspecified site"
"C85.81","Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck"
"C85.83","Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes"
"C78.39","Secondary malignant neoplasm of other respiratory organs"
"C84.49","Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites"
"I63.331","Cerebral infarction due to thrombosis of right posterior cerebral artery"
"C77.1","Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes"
"B18.8","Other chronic viral hepatitis"
"I60.12","Nontraumatic subarachnoid hemorrhage from left middle cerebral artery"
"C94.82","Other specified leukemias, in relapse"
"E08.41","Diabetes mellitus due to underlying condition with diabetic mononeuropathy"
"I37.9","Nonrheumatic pulmonary valve disorder, unspecified"
"K29.21","Alcoholic gastritis with bleeding"
"L40.54","Psoriatic juvenile arthropathy"
"K25.0","Acute gastric ulcer with hemorrhage"
"E11.359","Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema"
"K76.3","Infarction of liver"
"E08.331","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema"
"E08.3319","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
"D04.61","Carcinoma in situ of skin of right upper limb, including shoulder"
"D09.9","Carcinoma in situ, unspecified"
"E13.29","Other specified diabetes mellitus with other diabetic kidney complication"
"G11.4","Hereditary spastic paraplegia"
"D69.42","Congenital and hereditary thrombocytopenia purpura"
"I69.390","Apraxia following cerebral infarction"
"I69.928","Other speech and language deficits following unspecified cerebrovascular disease"
"C25.2","Malignant neoplasm of tail of pancreas"
"I06.1","Rheumatic aortic insufficiency"
"I77.77","Dissection of artery of lower extremity"
"G13.0","Paraneoplastic neuromyopathy and neuropathy"
"C7A.092","Malignant carcinoid tumor of the stomach"
"J45.22","Mild intermittent asthma with status asthmaticus"
"M45.7","Ankylosing spondylitis of lumbosacral region"
"Q22.8","Other congenital malformations of tricuspid valve"
"E11.3522","Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
"E10.359","Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema"
"E03.3","Postinfectious hypothyroidism"
"M45.0","Ankylosing spondylitis of multiple sites in spine"
"K75.89","Other specified inflammatory liver diseases"
"F15.13","Other stimulant abuse with withdrawal"
"I63.212","Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery"
"I65.09","Occlusion and stenosis of unspecified vertebral artery"
"I63.549","Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery"
"I66.22","Occlusion and stenosis of left posterior cerebral artery"
"I63.542","Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery"
"E04.8","Other specified nontoxic goiter"
"I66.01","Occlusion and stenosis of right middle cerebral artery"
"I66.11","Occlusion and stenosis of right anterior cerebral artery"
"D51.1","Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria"
"D53.1","Other megaloblastic anemias, not elsewhere classified"
"D51.2","Transcobalamin II deficiency"
"I08.2","Rheumatic disorders of both aortic and tricuspid valves"
"I37.8","Other nonrheumatic pulmonary valve disorders"
"I08.9","Rheumatic multiple valve disease, unspecified"
"E75.25","Metachromatic leukodystrophy"
"E09.00","Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)"
"I63.19","Cerebral infarction due to embolism of other precerebral artery"
"I69.990","Apraxia following unspecified cerebrovascular disease"
"C31.1","Malignant neoplasm of ethmoidal sinus"
"C31.0","Malignant neoplasm of maxillary sinus"
"C41.0","Malignant neoplasm of bones of skull and face"
"C40.80","Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb"
"C69.62","Malignant neoplasm of left orbit"
"C31.9","Malignant neoplasm of accessory sinus, unspecified"
"C17.2","Malignant neoplasm of ileum"
"E13.43","Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy"
"D61.9","Aplastic anemia, unspecified"
"F11.259","Opioid dependence with opioid-induced psychotic disorder, unspecified"
"C43.70","Malignant melanoma of unspecified lower limb, including hip"
"D04.5","Carcinoma in situ of skin of trunk"
"C44.599","Other specified malignant neoplasm of skin of other part of trunk"
"G25.82","Stiff-man syndrome"
"F13.220","Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated"
"E11.620","Type 2 diabetes mellitus with diabetic dermatitis"
"C41.1","Malignant neoplasm of mandible"
"I63.319","Cerebral infarction due to thrombosis of unspecified middle cerebral artery"
"F14.151","Cocaine abuse with cocaine-induced psychotic disorder with hallucinations"
"F15.251","Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations"
"C49.A0","Gastrointestinal stromal tumor, unspecified site"
"C82.01","Follicular lymphoma grade I, lymph nodes of head, face, and neck"
"C82.00","Follicular lymphoma grade I, unspecified site"
"I69.254","Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side"
"M08.08","Unspecified juvenile rheumatoid arthritis, vertebrae"
"M08.40","Pauciarticular juvenile rheumatoid arthritis, unspecified site"
"D52.8","Other folate deficiency anemias"
"H34.02","Transient retinal artery occlusion, left eye"
"I65.8","Occlusion and stenosis of other precerebral arteries"
"G83.11","Monoplegia of lower limb affecting right dominant side"
"I63.131","Cerebral infarction due to embolism of right carotid artery"
"G46.4","Cerebellar stroke syndrome"
"C71.8","Malignant neoplasm of overlapping sites of brain"
"I27.83","Eisenmenger's syndrome"
"F31.12","Bipolar disorder, current episode manic without psychotic features, moderate"
"I69.854","Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side"
"K76.81","Hepatopulmonary syndrome"
"G21.0","Malignant neuroleptic syndrome"
"E08.649","Diabetes mellitus due to underlying condition with hypoglycemia without coma"
"C84.Z0","Other mature T/NK-cell lymphomas, unspecified site"
"C38.4","Malignant neoplasm of pleura"
"M33.12","Other dermatomyositis with myopathy"
"M33.92","Dermatopolymyositis, unspecified with myopathy"
"C24.9","Malignant neoplasm of biliary tract, unspecified"
"E08.43","Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy"
"L94.3","Sclerodactyly"
"G93.81","Temporal sclerosis"
"M06.062","Rheumatoid arthritis without rheumatoid factor, left knee"
"M06.89","Other specified rheumatoid arthritis, multiple sites"
"F10.24","Alcohol dependence with alcohol-induced mood disorder"
"G80.1","Spastic diplegic cerebral palsy"
"G80.2","Spastic hemiplegic cerebral palsy"
"M06.049","Rheumatoid arthritis without rheumatoid factor, unspecified hand"
"M08.011","Unspecified juvenile rheumatoid arthritis, right shoulder"
"E09.01","Drug or chemical induced diabetes mellitus with hyperosmolarity with coma"
"K27.7","Chronic peptic ulcer, site unspecified, without hemorrhage or perforation"
"F19.14","Other psychoactive substance abuse with psychoactive substance-induced mood disorder"
"F16.959","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
"E05.11","Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm"
"E05.01","Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm"
"E08.36","Diabetes mellitus due to underlying condition with diabetic cataract"
"H35.031","Hypertensive retinopathy, right eye"
"F19.259","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
"F19.280","Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder"
"F15.180","Other stimulant abuse with stimulant-induced anxiety disorder"
"M06.321","Rheumatoid nodule, right elbow"
"M06.329","Rheumatoid nodule, unspecified elbow"
"M05.29","Rheumatoid vasculitis with rheumatoid arthritis of multiple sites"
"M06.372","Rheumatoid nodule, left ankle and foot"
"I69.311","Memory deficit following cerebral infarction"
"F01.51","Vascular dementia with behavioral disturbance"
"F01.50","Vascular dementia without behavioral disturbance"
"E10.3219","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
"E10.3213","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
"E10.321","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema"
"D03.71","Melanoma in situ of right lower limb, including hip"
"K71.8","Toxic liver disease with other disorders of liver"
"E31.22","Multiple endocrine neoplasia [MEN] type IIA"
"E31.23","Multiple endocrine neoplasia [MEN] type IIB"
"C79.31","Secondary malignant neoplasm of brain"
"M05.779","Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement"
"M05.719","Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement"
"K25.1","Acute gastric ulcer with perforation"
"I66.12","Occlusion and stenosis of left anterior cerebral artery"
"G81.00","Flaccid hemiplegia affecting unspecified side"
"I66.23","Occlusion and stenosis of bilateral posterior cerebral arteries"
"C76.3","Malignant neoplasm of pelvis"
"M45.2","Ankylosing spondylitis of cervical region"
"I70.201","Unspecified atherosclerosis of native arteries of extremities, right leg"
"I70.202","Unspecified atherosclerosis of native arteries of extremities, left leg"
"I70.223","Atherosclerosis of native arteries of extremities with rest pain, bilateral legs"
"I69.951","Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side"
"C96.2","Malignant mast cell tumor"
"E11.3419","Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"
"C82.20","Follicular lymphoma grade III, unspecified, unspecified site"
"C82.30","Follicular lymphoma grade IIIa, unspecified site"
"C82.09","Follicular lymphoma grade I, extranodal and solid organ sites"
"C82.08","Follicular lymphoma grade I, lymph nodes of multiple sites"
"C82.39","Follicular lymphoma grade IIIa, extranodal and solid organ sites"
"C82.25","Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb"
"C85.88","Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites"
"C82.37","Follicular lymphoma grade IIIa, spleen"
"C79.52","Secondary malignant neoplasm of bone marrow"
"C7A.098","Malignant carcinoid tumors of other sites"
"D61.09","Other constitutional aplastic anemia"
"K74.1","Hepatic sclerosis"
"I70.92","Chronic total occlusion of artery of the extremities"
"I70.262","Atherosclerosis of native arteries of extremities with gangrene, left leg"
"I70.245","Atherosclerosis of native arteries of left leg with ulceration of other part of foot"
"F15.220","Other stimulant dependence with intoxication, uncomplicated"
"B18.0","Chronic viral hepatitis B with delta-agent"
"I70.221","Atherosclerosis of native arteries of extremities with rest pain, right leg"
"I74.01","Saddle embolus of abdominal aorta"
"I75.029","Atheroembolism of unspecified lower extremity"
"I74.4","Embolism and thrombosis of arteries of extremities, unspecified"
"I74.09","Other arterial embolism and thrombosis of abdominal aorta"
"I75.021","Atheroembolism of right lower extremity"
"I74.19","Embolism and thrombosis of other parts of aorta"
"G83.21","Monoplegia of upper limb affecting right dominant side"
"E08.3293","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
"F34.81","Disruptive mood dysregulation disorder"
"F34.8","Other persistent mood [affective] disorders"
